"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","p.value"
"dependent.var72","a65chronic","na","NA","NA","0.02 (0.01-0)",NA,0.0125572085569903,0.0331570771572954,"district","shaqlawa",NA
"dependent.var73","a65chronic","na","NA","NA","0.02 (0.01-0)",NA,0.0119241439095856,0.024403247597874,"district","dibis",NA
"dependent.var74","a65chronic","na","NA","NA","0",NA,0.000382535208697827,0.00902185350603571,"district","derbendikhan",NA
"dependent.var75","a65chronic","na","NA","NA","0.02 (0.01-0)",NA,0.0149058745258286,0.0312653994852405,"district","beygee",NA
"dependent.var76","a65chronic","na","NA","NA","0",NA,0,0,"district","al.risafa",NA
"dependent.var77","a65chronic","na","NA","NA","0.02 (0.02-0)",NA,0.0182479260516405,0.030155143467025,"district","zakho",NA
"dependent.var78","a65chronic","na","NA","NA","0.01 (0.01-0)",NA,0.00739165015311174,0.0206457330244584,"district","al.rutba",NA
"dependent.var79","a65chronic","na","NA","NA","0.02 (0-0)",NA,0.00400704046587213,0.0268116003155526,"district","tikrit",NA
"dependent.var80","a65chronic","na","NA","NA","0.02 (0.01-0)",NA,0.012447309756725,0.0220486733661857,"district","makhmour",NA
"dependent.var81","a65chronic","na","NA","NA","0",NA,-1.5591697898817e-05,0.00591529671264808,"district","koysinjaq",NA
"dependent.var82","a65chronic","na","NA","NA","0.03 (0.02-0)",NA,0.0204087387389124,0.0307403955811459,"district","sumail",NA
"dependent.var83","a65chronic","na","NA","NA","0.01 (0-0)",NA,0.00296281788617307,0.0116864632279378,"district","al.shirqat",NA
"dependent.var84","a65chronic","na","NA","NA","0.01 (0-0)",NA,0.00217330329063923,0.0191505498942205,"district","haditha",NA
"dependent.var85","a65chronic","na","NA","NA","0",NA,0,0,"district","al.ramadi",NA
"dependent.var86","a65chronic","na","NA","NA","0.02 (0.01-0)",NA,0.0136580288094581,0.032698691272198,"district","tilkaef",NA
"dependent.var87","a65chronic","na","NA","NA","0",NA,-0.00171456803237016,0.00491879756679566,"district","al.kahla",NA
"dependent.var88","a65chronic","na","NA","NA","0.03 (0.03-0)",NA,0.0271908309004202,0.0394428099007722,"district","al.basrah",NA
"dependent.var89","a65chronic","na","NA","NA","0",NA,-1.67613126401274e-05,0.00013075303684095,"district","heet",NA
