"governorate","district","a65","a65_min","a65_max","a65chronic","a65chronic_min","a65chronic_max","health_issue.chronic","health_issue.chronic_min","health_issue.chronic_max","a65andorchronic","a65andorchronic_min","a65andorchronic_max"
"","","People above the age of 65","","","People above the age of 65 with a chronic health condition","","","People with a chronic health condition","","","People above the age of 65 and/or with a chronic health condition","",""
"","",NA,"","",NA,"","",NA,"","",NA,"",""
"","",NA,"","",NA,"","",NA,"","",NA,"",""
"","","numerical","","","numerical","","","numerical","","","numerical","",""
"Erbil","Rawanduz","0.0151515151515152","0.0101952984779641","0.0201077318250663","0.0101010101010101","0.00265408837384828","0.0175479318281719","0.106060606060606","0.045177544162241","0.166943667958971","0.111111111111111","0.0589050428154647","0.163317179406757"
"Erbil","Shaqlawa","0.0266666666666667","0.0127730890243691","0.0405602443089642","0.0228571428571429","0.0105840141479077","0.035130271566378","0.133333333333333","0.10257582335043","0.164090843316237","0.137142857142857","0.10841179938848","0.165873914897234"
"Kerbala","Al-Hindiya","0.0123893805309735","0.00611226509475643","0.0186664959671905","0.0123893805309735","0.00611226509475643","0.0186664959671905","0.0371681415929204","0.0323279613969987","0.042008321788842","0.0371681415929204","0.0323279613969987","0.042008321788842"
"Kerbala","Kerbela","0.0143884892086331","1.85839628977641e-05","0.0287583944543684","0.0119904076738609","0.000196986592056466","0.0237838287556654","0.0503597122302158","0.0291684194362341","0.0715510050241975","0.052757793764988","0.0298368824394036","0.0756787050905724"
"Kirkuk","Daquq","0.0129151291512915","0.0035036471861012","0.0223266111164818","0.0129151291512915","0.0035036471861012","0.0223266111164818","0.0904059040590406","0.0651225338435438","0.115689274274537","0.0904059040590406","0.0651225338435438","0.115689274274537"
"Kirkuk","Dibis","0.0172413793103448","0.00726795692026691","0.0272148017004227","0.00862068965517241","-0.000247568833069461","0.0174889481434143","0.0919540229885057","0.0556236685610186","0.128284377415993","0.100574712643678","0.0648337147806811","0.136315710506675"
"Kirkuk","Kirkuk","0.0380577427821522","0.0228116939063076","0.0533037916579969","0.0170603674540682","0.00903667526028194","0.0250840596478545","0.0826771653543307","0.0609268192128884","0.104427511495773","0.103674540682415","0.0856726204830214","0.121676460881808"
"Maysan","Al-Kahla","0.0246085011185682","0.00583083329370126","0.0433861689434352","0.00671140939597315","-0.00112058048059669","0.014543399272543","0.0268456375838926","-0.00448232192238676","0.058173597090172","0.0447427293064877","0.027723850843207","0.0617616077697684"
"Ninewa","Al-Baaj","0.024390243902439","0.024390243902439","0.0243902439024391","0.024390243902439","0.024390243902439","0.0243902439024391","0.0487804878048781","0.048780487804878","0.0487804878048781","0.0487804878048781","0.048780487804878","0.0487804878048781"
"Ninewa","Al-Hamdaniya","0.0218446601941748","0.0171727119025028","0.0265166084858467","0.0145631067961165","0.0103261774367503","0.0188000361554827","0.114077669902913","0.0945074231921989","0.133647916613626","0.121359223300971","0.0997368504653276","0.142981596136614"
