"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"a65","population_group",NA,"idp_in_camp",0.0140351336896489,NA,-0.000404938784640846,0.0284752061639386,"district","al.falluja"
"a65","population_group",NA,"returnee",0,NA,0,0,"district","al.falluja"
"a65","population_group",NA,"idp_in_camp",0.0129277011304579,NA,0.00270970228381019,0.0231456999771056,"district","erbil"
"a65","population_group",NA,"idp_out_camp",0.0189982728842832,NA,0.00623526429798169,0.0317612814705848,"district","erbil"
"a65","population_group",NA,"host",0.0335820895522388,NA,0.0335820895522388,0.0335820895522388,"district","erbil"
"a65","population_group",NA,"idp_in_camp",0.0091717122967123,NA,-0.00148233228008209,0.0198257568735067,"district","al.sulaymaniyah"
"a65","population_group",NA,"idp_out_camp",0.0149006622516556,NA,0.00590855179525042,0.0238927727080608,"district","al.sulaymaniyah"
"a65","population_group",NA,"idp_out_camp",0.0075046904315197,NA,0.00106939414930748,0.0139399867137319,"district","halabcha"
"a65","population_group",NA,"returnee",0.00749063670411985,NA,0.00200195833654061,0.0129793150716991,"district","al.hatra"
"a65","population_group",NA,"returnee",0.00350877192982456,NA,-0.00279554926697382,0.00981309312662294,"district","al.muqdadiya"
"a65","population_group",NA,"returnee",0.0163934426229508,NA,0.0163934426229508,0.0163934426229508,"district","al.baaj"
"a65","population_group",NA,"idp_out_camp",0.024390243902439,NA,0.024390243902439,0.0243902439024391,"district","al.baaj"
"a65","population_group",NA,"idp_out_camp",0.0224,NA,0.00772406178959421,0.0370759382104058,"district","rania"
"a65","population_group",NA,"host",0.0231481481481481,NA,0.0135632328376244,0.0327330634586719,"district","al.najaf"
"a65","population_group",NA,"idp_out_camp",0.0190615835777126,NA,0.00797787201889793,0.0301452951365273,"district","al.najaf"
"a65","population_group",NA,"host",0.0233333333333333,NA,0.0233333333333333,0.0233333333333334,"district","al.adhamiya"
"a65","population_group",NA,"idp_out_camp",0.00419287211740042,NA,-0.000901826837031708,0.00928757107183255,"district","al.adhamiya"
"a65","population_group",NA,"idp_out_camp",0.0299003322259136,NA,0.00828442243359854,0.0515162420182287,"district","al.nasiriya"
"a65","population_group",NA,"host",0.00395256916996047,NA,0.00395256916996045,0.0039525691699605,"district","al.nasiriya"
"a65","population_group",NA,"idp_out_camp",0.00740740740740741,NA,-0.000763170434411955,0.0155779852492268,"district","al.kut"
"a65","population_group",NA,"idp_out_camp",0.00540540540540541,NA,-0.00168396568110724,0.012494776491918,"district","al.suwaira"
"a65","population_group",NA,"idp_out_camp",0.0159651669085631,NA,0.00424521243868574,0.0276851213784405,"district","chamchamal"
"a65","population_group",NA,"idp_out_camp",0.0255102040816327,NA,0.00946682543298418,0.0415535827302811,"district","al.mahmoudiya"
"a65","population_group",NA,"returnee",0.0190114068441065,NA,0.00615778732198877,0.0318650263662242,"district","al.mahmoudiya"
"a65","population_group",NA,"idp_out_camp",0.00872093023255814,NA,7.50027131998145e-05,0.0173668577519165,"district","al.diwaniya"
"a65","population_group",NA,"idp_out_camp",0.00305810397553517,NA,-0.00262026654117219,0.00873647449224252,"district","al.mussyab"
"a65","population_group",NA,"idp_out_camp",0.0139372822299652,NA,0.000561809727076116,0.0273127547328542,"district","aqra"
"a65","population_group",NA,"idp_in_camp",0.0211480362537764,NA,0.00201991714214469,0.0402761553654082,"district","aqra"
"a65","population_group",NA,"idp_out_camp",0.0263157894736842,NA,0.0137998834159039,0.0388316955314645,"district","duhok"
"a65","population_group",NA,"idp_out_camp",0.0105820105820106,NA,-0.012541778791218,0.0337057999552392,"district","samarra"
"a65chronic","population_group",NA,"returnee",0.0347826086956522,NA,-0.0184541272192277,0.088019344610532,"district","tooz.khurmato"
"a65chronic","population_group",NA,"idp_out_camp",0.0157728706624606,NA,-0.00294944794350188,0.034495189268423,"district","tooz.khurmato"
"a65chronic","population_group",NA,"returnee",0.00842696629213483,NA,0.000823629979913732,0.0160303026043559,"district","telafar"
"a65chronic","population_group",NA,"idp_out_camp",0.0101596516690856,NA,0.00151882536814558,0.0188004779700257,"district","telafar"
"a65chronic","population_group",NA,"idp_out_camp",0.0119904076738609,NA,0.000196986592056466,0.0237838287556654,"district","kerbela"
"a65chronic","population_group",NA,"idp_out_camp",0,NA,0,0,"district","baquba"
"a65chronic","population_group",NA,"idp_in_camp",0.00185307943177987,NA,-0.000871269223637703,0.00457742808719745,"district","kirkuk"
"a65chronic","population_group",NA,"idp_out_camp",0.0170603674540682,NA,0.00903667526028194,0.0250840596478545,"district","kirkuk"
"a65chronic","population_group",NA,"returnee",0.0268199233716475,NA,0.0111124321515455,0.0425274145917496,"district","kirkuk"
"a65chronic","population_group",NA,"idp_in_camp",0.00937288843528771,NA,0.00398622274709176,0.0147595541234837,"district","al.hamdaniya"
"a65chronic","population_group",NA,"returnee",0.0228494623655914,NA,0.0103910563610716,0.0353078683701111,"district","al.hamdaniya"
"a65chronic","population_group",NA,"idp_out_camp",0.0145631067961165,NA,0.0103261774367503,0.0188000361554827,"district","al.hamdaniya"
"a65chronic","population_group",NA,"idp_in_camp",0.0102444196154049,NA,0.00478643428388743,0.0157024049469223,"district","al.mosul"
"a65chronic","population_group",NA,"host",0.00940438871473354,NA,0.003607577959967,0.0152011994695001,"district","al.mosul"
"a65chronic","population_group",NA,"returnee",0.00535714285714286,NA,-0.000206962876991805,0.0109212485912775,"district","al.mosul"
"a65chronic","population_group",NA,"idp_out_camp",0.0143884892086331,NA,0.00441468363723035,0.0243622947800358,"district","al.mosul"
"a65chronic","population_group",NA,"idp_out_camp",0.0128410914927769,NA,0.00763101042490531,0.0180511725606485,"district","dokan"
"a65chronic","population_group",NA,"returnee",0.0170731707317073,NA,0.00522807618795597,0.0289182652754587,"district","balad"
"a65chronic","population_group",NA,"idp_out_camp",0,NA,0,0,"district","balad"
"a65chronic","population_group",NA,"idp_out_camp",0.0228571428571429,NA,0.0105840141479077,0.035130271566378,"district","shaqlawa"
"a65chronic","population_group",NA,"returnee",0.0209643605870021,NA,0.0129686324853798,0.0289600886886243,"district","dibis"
"a65chronic","population_group",NA,"idp_out_camp",0.00862068965517241,NA,-0.000247568833069461,0.0174889481434143,"district","dibis"
"a65chronic","population_group",NA,"idp_out_camp",0.00470219435736677,NA,-0.000444996990334746,0.00984938570506829,"district","derbendikhan"
"a65chronic","population_group",NA,"returnee",0.023598820058997,NA,0.0134545773870648,0.0337430627309293,"district","beygee"
"a65chronic","population_group",NA,"idp_out_camp",0.0114613180515759,NA,-0.000402498637297145,0.023325134740449,"district","beygee"
"a65chronic","population_group",NA,"idp_out_camp",0,NA,0,0,"district","al.risafa"
"a65chronic","population_group",NA,"idp_in_camp",0,NA,0,0,"district","al.risafa"
"a65chronic","population_group",NA,"idp_out_camp",0.0271867612293144,NA,0.0147156201397868,0.0396579023188421,"district","zakho"
"a65chronic","population_group",NA,"idp_in_camp",0.0212875833607085,NA,0.0134629620041273,0.0291122047172897,"district","zakho"
"a65chronic","population_group",NA,"returnee",0.014018691588785,NA,0.00612208466574392,0.0219152985118262,"district","al.rutba"
"a65chronic","population_group",NA,"idp_in_camp",0.01303348745647,NA,0.00388865539499152,0.0221783195179485,"district","tikrit"
"a65chronic","population_group",NA,"returnee",0.0173160173160173,NA,0.00053198627540825,0.0341000483566264,"district","tikrit"
"a65chronic","population_group",NA,"idp_out_camp",0.00618556701030928,NA,-0.00178057684595907,0.0141517108665776,"district","tikrit"
