"governorate","district","a65","a65_min","a65_max","a65chronic","a65chronic_min","a65chronic_max","health_issue.chronic","health_issue.chronic_min","health_issue.chronic_max"
"","","People above the age of 65","","","People above the age of 65 with a chronic health condition","","","People with a chronic health condition","",""
"","",NA,"","",NA,"","",NA,"",""
"","",NA,"","",NA,"","",NA,"",""
"","","numerical","","","numerical","","","numerical","",""
"Kirkuk","Al-Hawiga","0.0257731958762887","0.0157012100251042","0.0358451817274731","0.0141752577319588","0.00832253510788408","0.0200279803560334","0.117268041237113","0.0907665654047984","0.143769517069428"
"Kirkuk","Daquq","0.0147718177794418","0.0100394151876015","0.019504220371282","0.013379943316845","0.00808489383944682","0.0186749927942432","0.0860042936736332","0.0709677429674547","0.101040844379812"
"Kirkuk","Dibis","0.0201196505494412","0.0145354252569786","0.0257038758419038","0.0181636957537298","0.0119241439095856","0.024403247597874","0.126213834048041","0.0941065176817561","0.158321150414326"
"Kirkuk","Kirkuk","0.039723324800231","0.0277692241183808","0.0516774254820812","0.0224832286178425","0.0138703464835546","0.0310961107521304","0.109261785695815","0.0910229707296272","0.127500600662002"
"Maysan","Al-Kahla","0.0226322645168779","0.0189585704442746","0.0263059585894811","0.00160211476721275","-0.00171456803237016","0.00491879756679566","0.006408459068851","-0.00685827212948064","0.0196751902671826"
"Ninewa","Al-Baaj","0.0172998002403853","0.0146560894217548","0.0199435110590158","0.0136659478635827","0.00966733525040405","0.0176645604767614","0.0564027147415858","0.0535607256115579","0.0592447038716137"
"Ninewa","Al-Hamdaniya","0.0254084283229814","0.0167408349242735","0.0340760217216892","0.0189732923223485","0.0110854096382876","0.0268611750064093","0.102689128389533","0.0827444331804513","0.122633823598615"
"Ninewa","Al-Hatra","0.00749063670411985","0.00288439261428193","0.0120968807939578","0.00499375780274657","0.000821672882464091","0.00916584272302904","0.0649188514357054","0.0502548042738707","0.0795828985975401"
"Ninewa","Al-Mosul","0.012554157724973","0.00679037636333011","0.0183179390866159","0.00712721889808146","0.00369583975384969","0.0105585980423132","0.0757600981654444","0.0569296909351808","0.0945905053957081"
"Ninewa","Al-Shikhan","0.0297417681054188","0.0222598583753784","0.0372236778354592","0.0187257506993311","0.0140936842211422","0.02335781717752","0.104058255800854","0.0871372066018259","0.120979304999881"
"Ninewa","Aqra","0.0142758074535622","0.00344181181476496","0.0251098030923595","0.0128852244034868","0.00218461309830842","0.0235858357086651","0.0959870453217909","0.0815661240422543","0.110407966601327"
"Ninewa","Sinjar","0.0246607324678806","0.0127540933590928","0.0365673715766685","0.0143554589520227","0.00461125739512709","0.0240996605089183","0.0821334186996049","0.0694150235399621","0.0948518138592477"
"Ninewa","Telafar","0.0222087241583236","0.0120195329360226","0.0323979153806245","0.00848426856184042","0.00230970154604212","0.0146588355776387","0.0799045647110834","0.0595097009410392","0.100299428481128"
"Ninewa","Tilkaef","0.0310637293952554","0.0170878104529435","0.0450396483375673","0.023178360040828","0.0136580288094581","0.032698691272198","0.133095421982652","0.117246813919551","0.148944030045754"
"Salah Al-Din","Al-Shirqat","0.0121949650039498","0.00616005782437988","0.0182298721835198","0.00732464055705542","0.00296281788617307","0.0116864632279378","0.0970774916984869","0.0850849999328053","0.109069983464169"
"Salah Al-Din","Balad","0.0136831275720165","0.0023157015806","0.0250505535634329","0.0136831275720165","0.0023157015806","0.0250505535634329","0.0807679974346641","0.0299336601010504","0.131602334768278"
"Salah Al-Din","Beygee","0.0293416397252296","0.0209185639392322","0.037764715511227","0.0230856370055346","0.0149058745258286","0.0312653994852405","0.0887518093781558","0.0732195592597816","0.10428405949653"
"Salah Al-Din","Samarra","0.0105820105820106","-0.0088240852031335","0.0299881063671547","0","0","0","0.0582010582010582","0.0402313803108953","0.0761707360912211"
"Salah Al-Din","Tikrit","0.0258837187168491","0.0153758511794479","0.0363915862542502","0.0154093203907124","0.00400704046587213","0.0268116003155526","0.0939759069162866","0.0701100770199278","0.117841736812645"
"Salah Al-Din","Tooz Khurmato","0.042759003984451","0.0164859005543871","0.0690321074145148","0.0269371649658822","-0.000455703028542042","0.0543300329603064","0.117562072349192","0.0144433108825413","0.220680833815843"
"Thi-Qar","Al-Nasiriya","0.00802283309551245","0.00108184573013006","0.0149638204608948","0.00333255427036981","0.00238072619150169","0.00428438234923793","0.0433232055148076","0.030949440489522","0.0556969705400932"
"Wassit","Al-Kut","0.00740740740740741","0.000550442328755848","0.014264372486059","0","0","0","0.0320987654320988","0.0101756866274734","0.0540218442367241"
"Wassit","Al-Suwaira","0.00540540540540541","-0.000544182360714548","0.0113549931715254","0.0027027027027027","-0.00167796070369136","0.00708336610909676","0.0351351351351351","0.018545532954706","0.0517247373155643"
